,epoch,avg_loss_D,std_loss_D,avg_loss_G,std_loss_G
0,0,0.7543256011885889,0.3382846058107791,96.42026542164818,25.499463978947446
1,1,0.6875359160612,0.2907793247827473,80.32207699377207,18.192762427071436
2,2,0.7365639390021264,0.30283824216012883,73.59938721484632,16.59411790382048
3,3,0.7060210388014545,0.29948345088449746,69.33344443484901,15.65882856480346
4,4,0.6648950556114479,0.29077428619902673,66.98381497610804,14.965354369320375
5,5,0.6267708588894608,0.2727301193155744,64.57838730882608,14.222281131898905
6,6,0.5566349045207737,0.23938109487774967,63.87430397641665,13.936532949023873
7,7,0.5148253480011885,0.21946404934767227,62.66062610214231,12.799745026568116
8,8,0.4983401333352369,0.2140559892768464,61.98085564112311,12.852101688888927
9,9,0.5255785826466242,0.2283823944028046,60.140551478339056,12.355392560766084
10,10,0.4877487758083584,0.21787363773493248,59.937687283614984,12.258264805402414
11,11,0.45684534642997676,0.2063527512147156,59.09610876681336,11.873069400921972
12,12,0.4306666667901865,0.19618973131370435,58.70510607932242,11.942367442528289
13,13,0.41963833835463615,0.19414009352252745,58.08733142266047,11.253759487055971
14,14,0.3951299780263077,0.18428820954817476,57.74892842684297,11.275751436913106
